,CROP,LATITUDE,LONGITUDE,YEAR,YIELD,GSL,CWD_fall,CWD_spring,CWD_summer,WW_fall,WW_spring,WW_summer,CDD_fall,CDD_spring,CDD_summer,CSDI_fall,CSDI_spring,CSDI_summer,WSDI_fall,WSDI_spring,WSDI_summer,CFD_fall,CFD_spring,CFD_summer,CSU_fall,CSU_spring,CSU_summer
0,barley,46.25,-62.25,1987,59.1,192.0,5.0,7.0,4.0,4.0,6.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,23.0,0.0,1.0,0.0,5.0
1,oats,46.25,-62.25,1987,62.1,192.0,5.0,7.0,4.0,4.0,6.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,23.0,0.0,1.0,0.0,5.0
2,spring_wheat,46.25,-62.25,1987,52.2,192.0,5.0,7.0,4.0,4.0,6.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,23.0,0.0,1.0,0.0,5.0
3,winter_wheat,46.25,-62.25,1987,52.5,192.0,5.0,7.0,4.0,4.0,6.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,23.0,0.0,1.0,0.0,5.0
4,barley,46.25,-63.25,1987,59.1,193.0,5.0,8.0,4.0,5.0,6.0,1.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,23.0,0.0,0.0,0.0,8.0
5,oats,46.25,-63.25,1987,62.1,193.0,5.0,8.0,4.0,5.0,6.0,1.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,23.0,0.0,0.0,0.0,8.0
6,spring_wheat,46.25,-63.25,1987,52.2,193.0,5.0,8.0,4.0,5.0,6.0,1.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,23.0,0.0,0.0,0.0,8.0
7,winter_wheat,46.25,-63.25,1987,52.5,193.0,5.0,8.0,4.0,5.0,6.0,1.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,23.0,0.0,0.0,0.0,8.0
8,barley,46.75,-63.75,1987,59.1,192.0,5.0,6.0,6.0,5.0,6.0,3.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,12.0,23.0,0.0,1.0,0.0,6.0
9,oats,46.75,-63.75,1987,62.1,192.0,5.0,6.0,6.0,5.0,6.0,3.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,12.0,23.0,0.0,1.0,0.0,6.0
10,spring_wheat,46.75,-63.75,1987,52.2,192.0,5.0,6.0,6.0,5.0,6.0,3.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,12.0,23.0,0.0,1.0,0.0,6.0
11,winter_wheat,46.75,-63.75,1987,52.5,192.0,5.0,6.0,6.0,5.0,6.0,3.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,12.0,23.0,0.0,1.0,0.0,6.0
12,barley,44.25,-65.25,1987,57.6,238.0,5.0,10.0,4.0,4.0,8.0,1.0,8.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,1.0,7.0
13,corn,44.25,-65.25,1987,84.0,238.0,5.0,10.0,4.0,4.0,8.0,1.0,8.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,1.0,7.0
14,oats,44.25,-65.25,1987,51.9,238.0,5.0,10.0,4.0,4.0,8.0,1.0,8.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,1.0,7.0
15,spring_wheat,44.25,-65.25,1987,53.3,238.0,5.0,10.0,4.0,4.0,8.0,1.0,8.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,1.0,7.0
16,winter_wheat,44.25,-65.25,1987,65.0,238.0,5.0,10.0,4.0,4.0,8.0,1.0,8.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,1.0,7.0
17,barley,44.75,-64.75,1987,57.6,201.0,6.0,10.0,4.0,5.0,7.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,21.0,0.0,1.0,1.0,9.0
18,corn,44.75,-64.75,1987,84.0,201.0,6.0,10.0,4.0,5.0,7.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,21.0,0.0,1.0,1.0,9.0
19,oats,44.75,-64.75,1987,51.9,201.0,6.0,10.0,4.0,5.0,7.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,21.0,0.0,1.0,1.0,9.0
20,spring_wheat,44.75,-64.75,1987,53.3,201.0,6.0,10.0,4.0,5.0,7.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,21.0,0.0,1.0,1.0,9.0
21,winter_wheat,44.75,-64.75,1987,65.0,201.0,6.0,10.0,4.0,5.0,7.0,1.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,21.0,0.0,1.0,1.0,9.0
22,barley,45.25,-63.25,1987,57.6,163.0,5.0,8.0,4.0,5.0,5.0,1.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,0.0,0.0,0.0,8.0
23,corn,45.25,-63.25,1987,84.0,163.0,5.0,8.0,4.0,5.0,5.0,1.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,0.0,0.0,0.0,8.0
24,oats,45.25,-63.25,1987,51.9,163.0,5.0,8.0,4.0,5.0,5.0,1.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,0.0,0.0,0.0,8.0
25,spring_wheat,45.25,-63.25,1987,53.3,163.0,5.0,8.0,4.0,5.0,5.0,1.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,0.0,0.0,0.0,8.0
