,name,CITY,PROVINCE_ABBR,TIME_ZONE,lat,lon
0,ABITIBI,,,,,
1,ABITIBI-OUEST,,,,,
2,ACTON,ACTON,ON,5.0,43.75,-80.25
3,ALBERNI-CLAYOQUOT,,,,,
4,ALBERT,,,,,
5,ALGOMA,,,,,
6,ANNAPOLIS,,,,,
7,ANTIGONISH,ANTIGONISH,NS,4.0,45.75,-61.75
8,ANTOINE-LABELLE,,,,,
9,ARGENTEUIL,,,,,
10,ARTHABASKA,,,,,
11,ASSINIBOIA,ASSINIBOIA,SK,6.0,49.25,-105.75
12,AVALON PENINSULA,,,,,
13,AVIGNON,,,,,
14,BAFFIN,,,,,
15,BATTLEFORD,BATTLEFORD,SK,6.0,52.25,-108.75
16,BEAUCE-SARTIGAN,,,,,
17,BEAUHARNOIS-SALABERRY,,,,,
18,BEHCHOKǪ̀,,,,,
19,BELLECHASSE,,,,,
20,BONAVENTURE,BONAVENTURE,QC,5.0,48.25,-65.25
21,BONAVISTA / TRINITY,,,,,
22,BRANDON,BRANDON,MB,6.0,49.75,-99.75
23,BRANT,BRANT,AB,7.0,50.75,-113.75
24,BROME-MISSISQUOI,,,,,
25,BRUCE,BRUCE,AB,7.0,53.25,-111.75
26,BULKLEY-NECHAKO,,,,,
27,BURIN PENINSULA,,,,,
28,BÉCANCOUR,,,,,
29,CALGARY,CALGARY,AB,7.0,51.25,-114.25
30,CANMORE,CANMORE,AB,7.0,51.25,-115.25
31,CAPE BRETON,,,,,
32,CAPITAL,,,,,
33,CARIBOO,,,,,
34,CARLETON,CARLETON,NS,4.0,43.75,-66.25
35,CENTRAL,,,,,
36,CENTRAL COAST,,,,,
37,CENTRAL KOOTENAY,,,,,
38,CENTRAL OKANAGAN,,,,,
39,CHARLEVOIX,,,,,
40,CHARLEVOIX-EST,,,,,
41,CHARLOTTE,,,,,
42,CHATHAM-KENT,,,,,
43,CLARESHOLM,CLARESHOLM,AB,7.0,50.25,-113.75
44,COATICOOK,COATICOOK,QC,5.0,45.25,-71.75
45,COCHRANE,COCHRANE,AB,7.0,51.25,-114.25
46,COLCHESTER,,,,,
47,COLD LAKE,COLD LAKE,AB,7.0,54.25,-110.25
48,COLUMBIA-SHUSWAP,,,,,
49,COMOX VALLEY,,,,,
50,COWICHAN VALLEY,,,,,
51,CUMBERLAND,CUMBERLAND,ON,5.0,45.25,-75.25
52,D'AUTRAY,,,,,
53,DAUPHIN,DAUPHIN,MB,6.0,51.25,-100.25
54,DEUX-MONTAGNES,DEUX-MONTAGNES,QC,5.0,45.75,-73.75
55,DIGBY,DIGBY,NS,4.0,44.75,-65.75
56,DRUMMOND,DRUMMOND,NB,4.0,47.25,-67.75
57,DUFFERIN,,,,,
58,DURHAM,DURHAM,ON,5.0,44.25,-80.75
59,EAST KOOTENAY,,,,,
60,EDMONTON,EDMONTON,AB,7.0,53.25,-113.75
61,ELGIN,ELGIN,NB,4.0,45.75,-65.25
62,ELIE,ELIE,MB,6.0,50.25,-98.25
63,ESSEX,ESSEX,ON,5.0,42.25,-82.75
64,ESTEVAN,ESTEVAN,SK,6.0,49.25,-102.75
65,FORT MCMURRAY,FORT MCMURRAY,AB,7.0,56.75,-111.75
66,FORT SIMPSON,FORT SIMPSON,NT,7.0,61.75,-121.25
67,FORT SMITH,FORT SMITH,NT,7.0,60.25,-111.75
68,FRANCHEVILLE,,,,,
69,FRASER VALLEY,,,,,
70,FRASER-FORT GEORGE,,,,,
71,FRONTENAC,FRONTENAC,QC,5.0,45.75,-70.75
72,GATINEAU,GATINEAU,QC,5.0,45.25,-75.75
73,GILLAM,GILLAM,MB,6.0,56.25,-94.75
74,GIMLI,GIMLI,MB,6.0,50.75,-97.75
75,GLOUCESTER,GLOUCESTER,ON,5.0,45.25,-75.75
76,GRANDE CACHE,GRANDE CACHE,AB,7.0,53.75,-119.25
77,GRANDE PRAIRIE,GRANDE PRAIRIE,AB,7.0,55.25,-118.75
78,GREATER SUDBURY / GRAND SUDBURY,,,,,
79,GREATER VANCOUVER,,,,,
80,GREY,,,,,
81,GUYSBOROUGH,GUYSBOROUGH,NS,4.0,45.25,-61.75
82,HALDIMAND-NORFOLK,,,,,
83,HALIBURTON,HALIBURTON,ON,5.0,45.25,-78.75
84,HALIFAX,HALIFAX,NS,4.0,44.75,-63.75
85,HALTON,,,,,
86,HAMILTON,HAMILTON,ON,5.0,43.25,-79.75
87,HANNA,HANNA,AB,7.0,51.75,-112.25
88,HANTS,,,,,
89,HASTINGS,HASTINGS,ON,5.0,44.25,-77.75
90,HINTON,HINTON,AB,7.0,53.25,-117.75
91,HUMBER DISTRICT,,,,,
92,HURON,,,,,
93,INUVIK,INUVIK,NT,7.0,68.25,-133.75
94,INVERNESS,INVERNESS,QC,5.0,46.25,-71.25
95,JOLIETTE,JOLIETTE,QC,5.0,46.25,-73.25
96,KAMOURASKA,KAMOURASKA,QC,5.0,47.25,-70.25
97,KAWARTHA LAKES,,,,,
98,KEEWATIN,KEEWATIN,ON,6.0,49.75,-94.75
99,KENORA,KENORA,ON,6.0,49.75,-94.25
100,KENT,,,,,
